"id","text","type"
,"važn da se tvoji mamici zdim fajn    kr upraši jo teliček",1
,"o ja se pozna tudi tudi na youtube-u...    tako, da hvala za pomoč in se priporočam tudi v prihodnje...    Lep pozdrav,",1
,"Bedn video niti malo simpatičen tip   ocena 0/10",1
,"&#12473;&#12488;&#12540;&#12502;&#12398;&#21069;&#12398;&#29483;",1
,"prekleti kreteni kolk sovražim ko delajo te inverted kurčeve kontrole, DOL JE DOL GOR JE PA GOR igra je pa gnila",-1
,"5 min gor al pa dol, sej ni problema tuki ane, sam to maš različne table, flumastre pa brisauce ane.",1
,"nekatere stvari so namenjene, da se jih vid sam enkrat.. vi bi pa kar snemal.. barabe.",1
,"That is legend-wait-for-it-hrvat-dairy",1
,"Proteine lahko začneš jemati šele po dopolnjenem 13. letu, saj zastirajo rast.",1
,"A vidite, kako proteini čist drugač dol spolzijo.....kot pa navadna hrana !",1
,"Igrce mu štekajo pa si je nabavu hlajenje ...",1
,"vsi k tolk pišete proti njej, me prav zanima kake žene al punce imate vi, pa koga bi raje jahali",1
,"jst sm mislu da se bliza 40, pol vidu na imdb da ma 25 let",1
,"Oglejte si animiran prikaz razvoja v2  skozi preteklih 550 milijonov let",1
,"kaj misli da je toplo vodo odkril ali kaj ?",1
,"V Jadransko morje ne gre skor nič, mi se mamo pa z Luko Koper neke dase.... jaoo...",1
,"Ni slaba, spet zajebancija na račun temnopoltega.",1
,"zakaj ste izklopovci tok dosadni?kasna je to bolezn?kako se prenaša?sem imun?need anwsers!",1
,"o ja se pozna tudi tudi na youtube-u...   tako, da hvala za pomoč in se priporočam tudi v prihodnje...[",1
,"Ajde spat, regeneracija pa to.... Aja na proteinih ni treba niti spat....",1
,"Haha, zdaj pa vemo kje bomo ukradli naslednji hrvaški avijon za 9/11 #2",1
,"Hehe kok touče s prstekom.Beats by Dr. Drek still the beast.ahhhahhahhhaha!!!haaaaaaaaaaaaaaaaaaaaahhahhahaaaaaaaaaaaaaaaaaaaaaaaaaaaa...sej ne vem kaj bi reku... beats so največji sranje za svojo ceno. dejansko VSI ki se kaj spoznajo na zvok ti povejo, da so dejansko primerljive s slušalkami za 1/4 njihove cene :)ampak če hočeš da stvar lepo izgleda pol moreš to kupit ;)sicer pa dober vizualni ponaredek od beats HD, ki po kvaliteti prekaša original je noontec zoro hd sem jih primerjal in nato kupil za on the go, ker so audiotechnica mal velike... (pol leta nazaj sem dal 40€ za tele noontech)",1
,"To bo treba naredit na LJ troli proti ČEFURJEM!!!!!",-1
,"ahahaha sam naslou ga pa zmaga      kvaj to O.Š.",1
,"takih smrkcev kot v Sloveniji pa še ne. Rusija moj doma.",1
,"Zato pa se dopade povprečnemu slovencu.",1
,"pogi .. hvala ti za tole !!ma dej, kaj mu ni ratalo med ww2 .. škoda, svet bi bil lepši",1
,"Zakaj židje ne jejo svinjine?... Ker bi bil to kanibalizem....",-1
,"ko vidim žida mi gre na bruhanje...",-1
,"tako nas slovence tukaj šipci in bosanci pljuvajo ... počutim se ogroženega v lastni deželi!musliman=terorist",-1
,"Cool",1
,"Alahu je krivo ker je njegova mama hrvatica",-1
,"hehe, kok binglja z rokico",1
,"V2 maniaDobro poslini, upoštevaj vlažnost in ga ob pravem trenutku natančno porini, da zadaneš luknjo. Možnost, da boš užival je znatno večja, kot pa izdaja  V2 .",1
,"tud ce je blo zaigrano, je vseen izpadu kot totalen kreten",1
,"@Mali-debeli Če bi moja igrala notr bi blo manj pritoževanja :) garantirano :) LP",1
,"@lenovo 5 let? še malo si reku ... zgleda stara najmajn 50, Mene spominja na uno gospo z golobi iz sam doma.",1
,"Kuj nekaj, normalno, da je boljše, če še dodaja sestavine,...",1
,"Pa smo spet tam, še en proteinski našpikanec.Pa kdo še verjame takšnim naseratorjem, to je navadno zavajanje ljudi, vsak ki se vsaj malo ukvarja z bodybuildingom ve, da je velikost mišice premo sorazmerna s količino vbrizganih proteinov in nima nikakršne povezave s treningom. Torej profesionalni bodybuilderji sploh ne trenirajo, ker obstaja prevelika možnost poškodbe, saj se mišice prehitro jačajo in hitro pride do okvare živčnih korenin, pleteža, perifernih živcev ali bolezni živčno mišičnega stika in mišic.  Ker vem da niste vsi tako izobraženi kot jaz in si ne lastite IQ preko 140, naj vam povem v vašem poenostavljenem hribovskem jeziku: Ftrga ti mišico če se špikaš s proteini in hkrati treniraš.",1
,"Upam da mastno služiš z nekaj sto ogledi na youtubu",1
,"ta pa že dolgo študira, poglej ga...skor bi reku da je slovenski študent",1
,"Luka koper nima niti za pol bureka",1
,"We come in peace, we leave you in pieces",1
,"V2 uporabniki niso rasistični!",1
,"a dobim kej provizije kr trolam te antiproteinske teličke tuki...???    vsaj za proteine, da se lahk mal špiknem...",1
,"Fantje, predvsem vi trije @zanimiv, @born2whine  in @DEYAX hvala ker pridno komentirate in povečujete oglede...se priporočamo tudi v prihodnje...",1
,"Animiacija.",1
,"Wauu, 1,3k ? Še preproceni ! Prepoceni ti je mama",1
,"k bi usaj b bila...",1
,"niso vse opice črne...",-1
,"pač opice huliganske, kaj drugega od takih navijačev tako ali tako ni za pričkovati",-1
,"Kva bi dec, šele...ovco sfriziru",1
,"yesterday is history,   today is a gift,   tomorrow is mystery",1
,"zihr je hrvat",-1
,"najenostavneje bi ga bilo strmoglaviti direktno v univerzo.. za pilota bi pa uporabili muslimanarja..",-1
,"918",1
,"Aja, pa drugo titulo hočem",1
,"A ni to apno? Od tega bi model lahko še oslepel",1
,"Močen* hrvaški smeh...",1
,"objasnla",1
,"Znanost",1
,"čista ''znanost'', l:p",1
,"Pejte mi nazaj v Zrće s takimi komadi",1
,"Haha kak ga je skurlo ko piščanca",1
,"O madona. Ziher je bil hrvaški robnik",-1
,"Tukaj vidim samo norčevanje iz hrane.",1
,"Ziher ni bil hrvat, ker hrvati so pa kavo pil",-1
,"Hudec ustavi fakismanovo revolucijo.Ziher sta bla hrvata.Pa kavo sta pila.",1
,"Ves čas, ni pa neka huda atrakcija, enkrat si notri in se naveličaš.",1
,"Pluča kolkr tolk.. druzga se ne splača gledat.",1
,"ti boš vedu ko niti prjatlov nimas",1
,"kaj jim bodo žene, ti so še za na mamino joško ... smrduhi otročajski",1
,"Tam k ga z nogo brcne se mi kr zasmili",1
,"[img]https://i.ytimg.com/vi/ssefSgAbDlI/mqdefault.jpg[/img]",1
,"Wauu, 1,3k ? Še preproceni !",1
,"Q. What do Muslim men do during foreplay?A. Tickle the goat under the chin.",-1
,"Ne samo, da so rasisti, tudi neumni so predvsem. Itak smo se vsi razvili iz črncev...",1
,"NIGERI VUN!",-1
,"Oh bodo videli rasizma ko se muslimanski bratje zberemo! Bodo piskali tenko, kot hrvati!",-1
,"faca",1
,"in kdo bi pol pil ta topu pir?",1
,"mal pa si podobna",1
,"ostrigu se je ravno tok, da bo mogu čez 1 teden ponovit vajo",1
,"Samo 20 eur na leto ? A vi greste zgolj 2x letno k frizerju ali pa se strižete po akcijski ceni v živalskem vrtu skupaj z orangutani ?",1
,"Lepa Nova Zelandija    Nimaš kaj!",1
,"Alpa ce je ze prej spilov ping pong, potem pa kao zacetnik in ful hitr napreduje....",1
,"20€ na let pršpara.......jaka muda",1
,"Resnično ŠOKANTNO, kot da bi tovor peljali hrvati...",-1
,"Zakaj slo-mo na koncu ?",1
,"lep projekt, vendar bi v kateri drugi državi (vključno z našo) verjetno rabil precej več kot eno leto za preboj med top 250",1
,"Dost sramota, da izrablja sina za slavo in oglede na Yt.",1
,"kako v gneči do sladoleda?",1
,"nš bizi to naredi z mezinčkom - slovenci smo jaćiwww.youtube.com/watch?v=JTYKL2dw8s0",1
,"Zakaj ga ves čas tolčejo po glavi. Kaj to pomeni?",1
,"verjem, da bi prej zlato vzel.",1
,"Brez grafičnih prikazov nam več živeti ni!Še sreča, da jih imamo, kot je npr. ta: www.youtube.com/watch?v=szUJSXBjpJM",1
,"Petje?    Joj ta angleški naglas",1
,"Mislim da ni treba žaliti opic. Ni fer do njihŠe poleno ne morem reči, ker bi bilo tudi ono užaljeno in ne bi gorelo.",1
,"*kinematografov",1
,"posnetek divje lige, bzvitak majo neki mehki balon",1
,"Za tatovom?!?!?",1
,"Šokantno res!",1
,"http://thegreateststorynevertold.tv/priporočam",1
,"Poslanstvo vsakega zemljana je, da vsaj enkrat v življenju ubije enega žida.... če bi se vsi tega držali, bi bil svet veliko lepši....",-1
,"VIVA PALESTINE",1
,"ko pa izraelci, pobijajo že 65 let muslimane po palestini pa se noben ne zgraža.vsi, ki pravite da je treba pobit vse muslimane, zaradi par posameznikov, ki si itak produkt zahoda v namen služenja v vojni se vprašajte nekaj:1. ali je treba tud pobit vse nas belce/kristjane zaradi svinjari, ki jih delajo določeni naši pripadniki in nas vse označit za iste......isto je z muslimani2. po več kot 30 letih teroriziranja zahoda bljižnjega vzhoda, se še sploh čudite, da nas nemarajo......eni mate probleme z jugoviči, kr vam kao kradejo delovno mesto,  vi pa pričakujete, da neki 25 letnik doli nebo jezn na nas, če je pa odrlaščal ob bombandiranju in pobijanju njegovega lastnega naroda iz strani zahoda in kristjanov?",-1
,"Najboljši video na Izklopu do zdaj",1
,"ŽABAR ... TIPIČNI ... FREEAPPROVED PA TO MOROSTARSKO SRANJE",-1
,"Alah~ vidm da spet na hitro nabiraš komentarje, tako kot si pod prejšnjim accountom delou, v čem je keč??",1
,"dober smeh!",1
,"Že samo dejstvo, da je to potrebno razlagat, je žalitev za našo inteligenco.",1
,"ne izgleda niti približno resno, [censored] je pa očitno zabita in nevredna kisika ki ga diha",-1
,"upam da je dalmatinka",1
,"Ne vem, ker se ne gledam v ogledalo",1
,"oni nimajo v šoli nič, razen muziklov",1
,"Ziher sta hrvata in ne slovenca",-1
,"Ma kakšnem haitskem, hrvaškem!",1
,"Whitout Fear I will Dance With Death and Misery",1
,"O kakšnih proteinih vi to govorite...kvečjem steroidi, fak.",1
,"Več kot očitno pomankanje proteinov. V kolikor bi jih redno konzumiral se mu to nebi zgodilo.",1
,"to pa je pustilo travme..",1
,"tukaj bi pa pasal komentar ""kak z nogico touče"" pa zgleda da se noben ne spomne...zaj zdolgočasen ""alah blabla"" hoče neke da bi se o hrvatih menli kao vsi neke ..no se mogoče mu rata tak ko se je prijel marsiakteri ""spaman"" komentar. Jah pač če človeko skos nabijaš neke bednega si bo zapomno tak pač je.. drgač pa video za bruhat sploh nwm kak so moderatorji spustli to mimo z takim opisom..ker če tak mačka pozdraviš te pa res nwm kak bi tigra pa vseeno kokakola najbolj pomaga pa spanec",1
,"Pivo se peni jebe se meni",-1
,"Ni tako lahko obvladati rodilnikA",1
,"pridi te bomo priklopili na monitor, spremljali vitalne funkcije .. pa da vidimo kako ustavi srce ...BULLLLSHIIIT hahaha",1
,"Fejk",1
,"Pametna povezava pohvalno! Zakaj se rabim prijavit?",1
,"Bolj kvaliteten video, od skoraj vseh slovenskih filmov.",1
,"Tam k ga z nogo brcne se mi kr zasmili .Tudi meni",1
,"Itak, obvezno kitajc. Who else...",1
,"hah",1
,"Ta smeh bom nastavu za ringtone",1
,"Everything you see on the internet is true...   - Napoleon Bonaparte -",1
,"kako je zabita , nimam besed",-1
,"Ojoj, gotovo je hrvatica",-1
,"Ice Bonboni :D",1
,"ambitious but rubbish   hehehe, verjetno je želel štant odpret...  me čudi, da si ni še stojnico privezal na hrbet",1
,"Kako mu je to sploh uspelo. Ne morem si predstavljat da hodiš tak okol ko da imaš celo gajbo pira na sebi.",1
,"Nevem a z zajbancijo tudi bobna, ker če ne naj si kupi metronom.Drgač je pa njegov bobnanje tipično bobnarsko preseravanje, ki pelje v propad 70% mladih bandov.Lp",1
,"pzzzt...pok pok..",1
,"Kej si mona al kej ?",1
,"Ziher je hrvat je nastal na videu, kjer je bila debata ali je človek kavkazijec, rus, ali pa hrvat.izklop.com/?url=links/start&a=open&id=79306Evo ga, forced meme 2012.",1
,"a majo američani novega predsednika? upam da bo ta barac kaj boljši",1
,"sej se mi kr smiliš revček...po cele dneve visiš tuki in anonimno komentiraš in pljuvaš po vseh, da se ti potem bolš počutiš...""Veteran"" nisi samo tuki ampak verjetno tudi po dosti ostalih forumih...Že to, da si dal samo na izklopu že skor 2000 komentarjev, pove vse...GET A LIFE!!! jst grem športat in se špikat s proteini, do 2000 komentarjev pa itak ne bom uspel pridet...",1
,"zvoka ni,grafika pa je vreji, nefajn je animi-irano",1
,"Če bi gor bil od japke logo, bi se kvaliteta zvoka še za 50% izboljšala. Znanost ...",1
,"sam pokazejo da vecino dnarja das zaradi estetike in ne kvalitete samih slusalk",1
,"Hehe kok touče s prstekom.Beats by Dr. Drek still the beast.",1
,"Za vrati stoji hrvat",-1
,"Haha kok ste musliči smešni poščijem se vm na tega muhameda",-1
,"nobeden nemore premagat breje ovce",1
,"Born2whine...v indiji se lohk zihr za tak dnar ceu let 2x na mesnc strižeš",1
,"Tale se mi zdi, da je pa indijec,",-1
,"A si ti TROLL? Javi se Mohic-u!",-1
,"911",1
,"ka je nor si bruke dela človek",1
,"Kako biti hrvat v razredu",1
,"AlahMaMajhnega .. hrvatje smo zakon !!",1
,"ijesusna",1
,"oni nimajo v šoli nič, razen muziklov  top komentar",1
,"Fuc*ing mirrors, how do they work?",1
,"hahaha bobni sploh nepasejo tuki https://www.youtube.com/watch?v=_8iuwO08E5w",1
,"lol kje ste videli črnce na haitiju.. to je hrvaška na njihovi paradi ponosa..",1
,"ziher hrvat",-1
,"Ta sprefuk4na kura je ziher AlahJeVelik",-1
,"najbolj glupa objava do zdaj sej od vsega pospravljanja ga bo pa res glava bolela",1
,"priporočam da ne jeste ob gledanju..",1
,"po 15-ih sekundah zapru ker že dougo nism slišu tolk laži hkrati",1
,"Dog is the only thing on earth, that loves you more than he loves himself ^^",1
,"Baracu",1
,"Amerikanci zabiti",-1
,"Mislio sam... mislio bolje nešto, da se promeni... samo da prođe ovaj život prema kraju a život prođe ništa se ne promeni. Razumeš?",1
,"Prevc, kot Fak, je tudi sam hrvat.",-1
,"Sramota za norvežane, Prevc podre svetovni rekord oni pa himne ne znajo ta prave predvajat...",1
,"Meni ni jasno s čim se ti ljudje ukvarjajo, da lahko tako lagodno živijo in imajo toliko prostega časa za tovrstne zadeve počet? Dobim občutek, da smo v Sloveniji bolj kot ne sužnji. Nimam slabe službe ampak zanjo porabim vsaj 10-12 ur dnevno in ni šans, da bi imel čas in voljo se s čim tovrstnim ukvarjat.",1
,"haha oni na konci se čuje koda bi tomosa pojedo :D",1
,"Turkaši so res smešni ljudje",1
,"Turk?!?!? Se je tako pisal ali kaj?Ali lahko prosim, da odslej objavljajo pismeni ljudje?",1
,"haha Obama Barac :D",1
,"beraču",-1
,"Vsa čast Petru...naši odlični športniki se mi zdi da so še edini, ki ohranjajo neki pozitivno v naši državi. Slovenija!",1
,"Svaka čast Petra Majdič, in to z zlomljenimi rebri!",1
,"komentatorja takoj iz šihta vrečt",1
,"Leti ... leti ... Peter Prevc!",1
,"Če se bom 50x presnel, postanem Batman!?",1
,"@someone24 Odakle si ti Yugić?",1
,"Ja zanimiv da se vozi s podzemno",1
,"@Neumnež @Pretorian",1
,"če že rad bereš komentarje potem ti je definitivno poznan izraz trolanje na temo proteinov   lp",1
,"Podoben učinek kot ga imajo proteini, torej brez kakšnega treninga oz. truda dobiš mišice in zgledaš napihnjen kot vsi bilderji in to z samo 1 pikom v zilo",1
,"Avtor tega prispevka se naj raje naroči na revijo ciciban",1
,"Z motorjem po snegu. Zelo pametna ideja moram reči",1
,"Jaz tud gledam vsak dan, čist bolj sem na tekočem z ameriško politično sceno kot našo. Res škoda.",1
,"to je pa res velika tragedija za vse slovence.jz sm se ponoč skor utopil v svojih solzah k sm tok jokal.sem videl oddajo parkrat in je kar smešna.sam ne verjamem da tole veliko slovencev gleda.tko da bv tole objavlat sploh",1
,"x2",1
,"Pri tem videju me je bolj blondinka zanimala kot pa nastanek zmajev.",1
,"Joj, kako brca z nogico.",1
,"ja, res, je, mojster",1
,"Lp",1
,"@someone24 pa ti si kr en kreten, v življenju še nisem videl prištevnega komentarja od tebeprosim da v bodoče nehaš s širjenjem negativnosti",-1
,"Mater ga usere",-1
,"za temu stoji Putin!!",-1
,"tisti prvi trik z roko .. veliko boljše deluje, če si oči nategneš kot kitajc",1
,"Tako je, ko se pogajata dva SDS-ovca... Podkupnine letijo v vse smeri...",-1
,"Kje je slovenski zajtrk? Bi blo zanimivo vidt reakcijo, ko bi jih s proteini špikali",1
,"a je pa sploh kater američan? sm pričakoval Indijanca .",-1
,"Važn da so Ameriški otroci.",1
,"Oh škoda nažalost je Norvežan podrl njegov svetovni rekord  www.siol.net/sportal/zimski_sporti/skoki/2015/02/novi_rekorder_anders_fannemel_si_je_pri_2515_metra_poskodoval_nogo.aspx",1
,"Mato6Mare care mediji imajo prav. Prevc je iz Dolenje vasi, včasih pa je živel v Dražgošah. Sem tudi sam iz Dolenje vasi, kjer smo zelo ponosni na Petra!    https://scontent-fra.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/1549440_10153165785849273_2920557487116004256_n.jpg?oh=f9f007da1a2dc264d967eeca25a5d359&oe=5552F2E9Aha ja verjetno sem potem jaz narobe slišal pa sem dolgo časa mislil drugače  Hvala da si me popravu ker res nisem bil točno prepričan.",1
,"Njegova mama je bila moja profesorica za zgodovino hah. Pa vidim da so se v medijih zmotili nvm kako ampak on je iz Gorenje vasi pri Škofji Loki tako da je tisto narobe Dolenja vas razen če se je preselil kar je tudi mogoče. Drgač pa svaka čast res taki so res redki da podirajo rekorde prov v čast mi je da ga poznam in da sem ga že srečal osebno.",1
,"Leslie Nielsen nazadnje viden na fakulteti za računalništvo in informatiko.",1
,"gola pištola ne policijska akademija",1
,"ne, js tega psa nisn prej poznau",1
,"someone24: kaj pa je narobe s staretom...... najboljši komentator ever.Se vsaj, dogaja naredi atmosfero, vzdušje saj ne napoveduje osmrtnic.",1
,"Jaja, tole so ga hrvati narobe zmerl...",1
,"tale se nau vec pregrev",1
,"""Please note that this was a STAGED demonstration for FUN to get students to pay attention in their physics class instead of playing on their computers.""",1
,"Sploh nebom komentiral...",1
,"ima pa čas ja",1
,"480p.. retard",1
,"v okno sem napisal komentar v okno",1
,"Če nebi imela te lasulje, bi bila totalna šuga, kar tudi je.",-1
,"kdaj bo že bluray da pogledam in pokomentiram... sam đaba spet slovenskih podnapisov ne bo.",1
,"hehe",1
,"mucka",1
,"Ro-Bow, je robot, upokojenega inženirja, Setha Goldsteina, ki lahko, igra violino, glasba pa, zveni, presenetljivo dobro.",1
,"ah kur* kab saj 10 let nazaj to vedu",1
,"Zlata lisica ni nič boljša... Amaterska kmetavzarija....",1
,"Isto kot pust v butalah...",1
,"avtist en k je proteine ej",1
,"Wdi kdaj pa znajo Angleško govoreči ljudje nrst pašto?  Še zdej se bom raje wču od Itljanu nrst pravo Aldente pašto",1
,"Zakaj bi bila Luka Koper primerljiva z morskimi ožinami in prekopi kot so Malaka, Panama, Suez, itd?",1
,"če bi se baba malo znašla, bi pograbila oba in imela odlično kosilo",1
,"8 od 4 do 7",1
,"forever blowing bubbles...!  ni jih čez west ham-ove navijače",1
,"Precej ironično da je film posnet s strani največjih huliganov v angliji    Inter City firm..pa to.",1
,"Zanimiv ti očitno trolaš samega sebe, v naših očeh si pa eno vlko tele  kar povprašaj ostale člane",-1
,"@fitkalis...hahah pa sej ti ne nabijamo ogledov na video na youtubu ampak na izklop strani, kar se pa tiče youtube ogledov se pa pozanimaj kako se štejejo  Glede ogledov na izklop strani se pa nebi preveč hvalil na tvojem mestu...to ti povem brez kakeršnekoli zaebancije",1
,"@zanimiv, znanstveniki so dokazali, da imajo tisti, ki se pikajo s proteini 335% več možnosti, da doživijo srčni infarkt, zaradi obremenjevanja in povečane rasti srčne mišice, kot ostali ''lenuhi'', kot vi narcisoidni bilderčki pravite vsem, ki ne živijo vašega načina življenja, l:p",1
,"v afriki samo neke muhe letajo ne..",1
,"Penaldo ima baje hrvaške korenine...",1
,"nepotrebni postopki, ki ne vplivajo na kvaliteto zvoka...nek se vidi razkoš",1
,"izdelava pokrovčka slušalk.",1
,"Q: How do you get a Muslim woman pregnant?A: Dress her up as a goat.",-1
,"mislim da bi lahko v naslovu odstranili besedo navijači.....sicer pa za take osebke si želim da bi enkrat naleteli na kakšno mino",1
,"In model se je šu s temi idioti ubadat k majo IQ na ravni 2letnega otroka pfffff......ignoriraš počakaš nasledn vlak in to je to",1
,"Agent007 nimajo vsi dolgih las... Da zgledam k en freak ce bi se strigu 3x na let. Jaz se strizem 2x na mesec pri frendu-frizerju in se nc ne placam tko da ja",1
,"kuponko & 1nadan striženje po 2-5€ 4x na leto, to smo mi",1
,"Sam zafarban je pa tak ku bosanc.",-1
,"pa v frizerskem saloni snemano...FAIL",1
,"odstopu je sedeš samo zato ker ni hotel sedeti zravn črnuha",-1
,"odstopu je sedeš samo zato ker ni hotel sedeti zravn črnuha Evo to ti je resnica!",-1
,"Ko se zvezdnik zaveda da živi od ljudi in ne ljudje od njega",1
,"Ne morem vrjeti da še obstajajo takšni ki verjamejo člankom na spletu in wikipediji, takšne članke lahko napiše prav vsak ki ima 5 časa, nekateri tu gor pač ostajamo pri tem da so proteini pač slabi, lahko pa povprašaš te bilderje po fitnesu pa ti bodo pojasnili skrivnost",1
,"Vi pa ste eni intelektualci.",1
,"Na uradni strani piše: ne le da se pika z proteini ampak je v zadnjem časa začela uporabljati kreatin, ki vsi vemo kaj naredi človeku",1
,"kar neke",1
,"Kaj ti bo motor, če imaš kolo?",1
,"AdBlock?",1
,"A ni to smrtno nevarno da nekomu ustaviš srce  Al je to ena izmed for za valentinovo",1
,"a je rov odprt skos?",1
,"Ziher je tale mini-golf na hrvaškem",1
,"aaah to ti je samo logistika, nič zahtevnega",1
,"A ni to repost?",1
,"kako ne izdelati predmeta",1
,"gremo se jokat weeeeeeeeeeeeeeeeeeeeeeeee",1
,"To bi pa celo gledu",1
,"Just 2 pigeons were harmed during the filming of this movie",1
,"v naslednjih 10sec jo za občinstvo še odre",1
,"Hahahahahahah glej k brca z nogico.",1
,"Preveč nekega smeha na silo, d rugače pa ok.",1
,"Več nas je....manj nas ni. :D",1
,"http://izklop.com/?url=links/start&a=open&id=96340&srckeyword=Boston%20Dynamics",1
,"@ jackjohnson ne ti men o psihologu OVCA!",-1
,"na posnetku ni bilo moč opaziti ničesar napetega, kaj je point objave?",1
,"hehe kok s kovančkom touče",1
,"eksperiment je uspel",1
,"Čestitke uporabniku liverb za naj komentar! Presenečenje (modno torbico Izklop by LoveDeSign) prejmete po pošti, in sicer ko bomo odpošiljali nagrade tudi za zmagovalce nagradne igre ""UEFA13/14"". Bolj natančno, nagrado boste prejeli v roku desetih let. l;p",1
,"svi u majicama, samo ja u bundi",1
,"haha, isti",1
,"Kje je pa hrvašski zajtrk? Diskriminacija.",1
,"ta mali fejmič bo ritopik ko odraste, l:p",-1
,"saj pa so edini ki se ukvarjajo sami z sabo, tričetrt se jih sploh ne zaveda da obstaja življenje izven amerike (politike na stran, ker se ameriška vlada vtika v vse)",1
,"Vidite kako poneumljajo folk ti Američani in s tem služijo? Pred sabo ima prenosnika k bulji 24ur na dan in pregleduje koliko zaslužka ima od klikov, ter si pri tem uničuje vid.",1
,"že nazačetku sm začel umirat od",1
,"takih ne delajo več...",1
,"pun šus je brcov... na uro ziher 140x",1
,"Hahaha sej si je čist sam kriv",1
,"ali kakorkoli si govorimo Planica ima dušo. Poglejte kako so gledalci bili ""užaloščeni"", da ni norvežan preskočil 250m, pa si ol poglejte skok Romorena v Planici 2005 pa vzdušje   Prevc pa preskočil prvi kar so sanjali mnogi 250 m. 251m ni več tako ""pomembna"" :) nasldnja znamka 300 m",1
,"Nč ni skočil, je fant kar poletel 250m",1
,"Kr nemorm trollat s proteini .Bravo Prevc!",1
,"sej druzga kot pice in hamburgerja ne jejo, in use kar je 2× ocvrto... kako jim bo pol ostalo dobro?",1
